Geneid,231_N,MCF12a_S,MCF12a_N,MCF10a_S,MCF10a_N,CA1d_S,CA1d_N,CA1a_S,CA1a_N,453_S,453_N,231_S
51312,44720,24253,11992,27422,18178,7472,21669,7809,27550,4052,2864,44635
51313,519,412,445,2282,510,111,365,421,263,1822,10489,925
51314,0,0,0,551,67,0,0,0,0,0,0,2
51315,2597,1704,2755,1606,1710,0,297,339,432,670,896,2701
51316,4351,508,268,173,25,0,37,84,112,8,2,7620
51317,11208,4799,3951,12169,11273,616,1597,874,2650,6613,8300,11563
51318,3060,2106,2994,4245,4814,385,1906,514,2968,2278,1955,3145
51319,3653,5227,5158,3098,4270,422,2123,568,2903,2391,1455,3727
5132,95,49,41,178,234,23,602,61,87,142,140,73
51320,4197,11348,7389,8189,5282,3037,10049,3976,20014,6991,4175,4313
51321,4200,5269,4199,6668,5468,728,3279,1730,5892,14006,9924,4684
51322,13236,12725,10413,16859,18176,2161,19618,5050,16461,14925,13267,13975
51324,13210,5022,5122,9753,7779,475,4709,2881,7782,12004,8084,14332
51326,71,228,170,128,89,0,56,3,94,332,496,109
51327,2,87,0,0,0,258,7,220,16,0,2,0
51329,8839,9198,5935,13731,11550,2404,4494,2334,13110,5088,3362,9231
5133,0,0,0,0,2,0,0,0,0,2,1,0
51330,7181,11041,8761,26306,21384,4803,26510,6182,58520,19750,4260,7809
51332,1643,2211,1536,504,270,325,530,1958,1003,3719,2783,2313
51333,710,1243,1130,1525,930,0,554,269,666,1889,870,874
51334,4478,0,0,1919,283,184,25,42,82,0,1,5108
51335,13027,5534,6548,14403,11300,1306,5911,3224,9134,9015,4901,14615
51337,3001,10891,7657,14114,10764,935,2015,2472,6526,18818,7975,3847
51338,2,0,8,10,0,0,0,70,22,0,0,0
51339,13,0,2,0,0,0,0,0,18,11,6,6
5134,5985,3933,5996,8511,7741,982,3950,1584,8246,5526,3588,6368
51340,3728,4478,5454,5542,3556,414,2406,1152,2480,5689,6145,4000
51341,19409,39310,26931,32311,22334,1892,11427,12914,30892,24211,14666,22068
51343,6285,14589,12273,10867,8725,2331,6463,3454,12752,7861,7551,7281
51347,12859,3269,5652,5826,6452,194,7577,1002,4376,4724,3444,15221
51348,19,0,0,46,10,0,0,0,0,1,0,8
51350,2,0,5,1,3,0,0,0,0,2,2,0
51351,1070,9668,17688,2338,10233,67,217,500,684,643,1084,1144
51352,2,0,1,0,0,0,0,0,0,0,0,1
5136,10,0,10,46,12,0,13,0,0,23,58,12
51360,3370,1221,2043,7150,7602,492,1022,863,1712,3171,2171,3862
51361,1109,2201,2707,1437,702,634,7618,439,5764,4690,3222,1139
51362,2228,2495,2913,4161,3507,717,6950,272,2726,2531,2533,2535
51363,21542,37084,36939,62120,34554,3668,6111,4696,6166,20685,19888,24846
51364,156,433,165,182,90,103,665,110,120,563,428,177
51365,2,0,0,8,8,185,0,0,15,1,6,5
51366,29759,63228,52276,51215,51820,4831,26417,6179,27267,35004,31699,32700
51367,1756,1434,1153,2145,2112,241,1007,819,1475,1431,1173,1902
51368,3713,3376,4798,11463,6257,249,1485,2162,3891,6114,3470,4507
5137,15,322,326,14,8,775,236,29,805,10,6,52
51371,3010,3082,5063,8528,9721,640,6732,519,4710,5280,3411,3335
51372,1051,506,826,2295,4195,295,3710,152,1696,1755,1254,1213
51373,1067,1331,1199,1465,1721,424,783,82,1005,670,438,1140
51374,4727,3138,4965,7993,7200,324,1979,343,3560,5182,3175,5744
51375,3777,974,1000,1430,1863,0,1034,4,1095,710,269,4116
51377,5688,3357,4418,6885,11048,396,2101,372,3422,10208,7688,5706
51378,388,1,28,90,54,1,2,0,25,11,27,372
51379,4132,3314,3063,3303,4398,1013,2508,929,5720,2406,3536,4485
5138,1339,251,221,241,114,74,936,207,588,304,73,1623
51380,6097,5587,4905,5038,9131,1690,8095,2215,4579,7001,10728,7898
51382,2654,1995,3623,5487,4989,718,4306,1182,2313,4189,3717,2772
51384,41,122,79,19,20,146,60,0,12,20,27,86
51385,6283,1102,902,2157,2978,265,636,238,1136,1501,1495,5958
51386,23838,14770,13867,40583,38615,3606,26229,6973,18115,24368,16229,25023
51388,4070,1985,3291,5442,4253,152,4665,559,2846,1762,1013,4681
51389,1726,1280,2151,3754,4378,641,2386,351,2325,2561,1637,1927
5139,357,0,8,0,1,0,0,0,1,2,0,433
51390,6566,3754,3687,4347,3832,67,2106,357,3326,3070,4323,7332
51393,162,254,109,106,85,609,53,163,137,29,9,306
51397,2847,3565,2890,2419,2988,8,971,90,1412,1655,2040,2812
51398,2875,2185,1938,4428,3251,1003,3814,440,2365,3323,2569,2937
51399,2719,1831,1680,4820,3893,153,2039,818,2688,3042,2075,3048
514,97,258,93,114,172,14,94,40,88,101,63,78
5140,2614,64,97,836,1751,622,114,620,114,548,377,2901
51400,5537,2890,4455,12134,10387,735,5333,1287,5167,5327,3992,6200
51406,4101,5180,3711,4638,4349,524,5908,1272,4948,2363,1708,4232
51409,7223,3253,3462,6057,4781,798,1137,1673,3094,6441,9708,7379
5141,7419,206,139,585,875,0,0,0,154,183,34,8247
51411,61,1074,137,128,8,868,253,276,315,69,30,34
51412,30,17,47,1,6,0,6,0,17,31,16,16
5142,814,307,334,6606,3741,308,148,449,108,1681,2321,642
